num_imm,type_voie_imm,nom_voie_imm,city
39,rue de,la sourdiere,Paris
1,rue,saint-roch,Paris
49,rue,saint-roch,Paris
41,rue,dareau,Paris
43,rue,dareau,Paris
18,rue des,bernardins,Paris
36,rue des,batignolles,Paris
150,avenue d',italie,Paris
4,avenue du,bel-air,Paris
28,rue de,sévigné,Paris
14,rue,jean-daudin,Paris
14,rue,jean-daudin,Paris
18,rue de,douai,Paris
23,rue,duperré,Paris
48,rue,pajol,Paris
48,rue,pajol,Paris
7,passage du,montenegro,Paris
21,rue de,ponthieu,Paris
44,rue,lepic,Paris
8,passage,raguinot,Paris
26,rue,pigalle,Paris
8,rue du,baigneur,Paris
48,rue,chardon-lagache,Paris
98,rue,marcadet,Paris
67,boulevard,ney,Paris
16,rue de,sevres,Paris
4,rue du,surmelin,Paris
16,rue,cuvier,Paris
39,rue de,liége,Paris
37,boulevard,malesherbes,Paris
7,cité,nollez,Paris
46,rue du,ruisseau,Paris
83,rue des,archives,Paris
92,rue des,archives,Paris
2,rue,portefoin,Paris
8,rue,gambey,Paris
2,rue,michel-de-bourges,Paris
46,rue,oberkampf,Paris
19,rue du,rendez-vous,Paris
23,rue,la condamine,Paris
14,rue,violet,Paris
6,rue de l',arcade,Paris
1,rue,condorcet,Paris
22,rue de l,échaudé,Paris
6,passage de la,madeleine,Paris
59,rue de,maubeuge,Paris
16,rue de,saussure,Paris
18,rue de,saussure,Paris
27,rue de,suréne,Paris
69,rue,pixérécourt,Paris
5,rue,léon,Paris
25,rue,marcadet,Paris
1,rue,biscornet,Paris
7,rue d',aubervilliers,Paris
87,rue des,amandiers,Paris
2,rue du,douanier,Paris
12,square,chaure,Paris
39,rue,nicolo,Paris
31,rue,nicolo,Paris
33,rue,nicolo,Paris
17,rue,vital,Paris
19,rue,vital,Paris
21,rue,vital,Paris
23,rue,vital,Paris
25,rue,vital,Paris
9,rue,baudelique,Paris
14,boulevard,jourdan,Paris
16,boulevard,jourdan,Paris
78,rue,lamarck,Paris
60,rue,saint-lambert,Paris
6,rue,jouffroy,Paris
369,rue de,vaugirard,Paris
77,rue de,patay,Paris
3,rue du,regard,Paris
18,rue de,grenelle,Paris
81,rue de,grenelle,Paris
9,rue,labie,Paris
57,rue de la,chaussee-d'antin,Paris
73,rue,saint-lazare,Paris
60,rue de,bagnolet,Paris
1,rue de,fontarabie,Paris
100,rue de la,réunion,Paris
53,rue,didot,Paris
61,rue du,moulin-vert,Paris
89,rue,brillat-savarin,Paris
73,rue,saint-antoine,Paris
5,rue des,trois-freres,Paris
3,rue,baudelique,Paris
16,rue des,taillandiers,Paris
18,rue des,taillandiers,Paris
4,rue,fauvet,Paris
33,rue de,poliveau,Paris
1,rue de,la tour-d'auvergne,Paris
28,rue de,la tour-d'auvergne,Paris
38,rue,rodier,Paris
21,rue,clairaut,Paris
16,rue,michal,Paris
20,rue,charcot,Paris
49,rue,dunois,Paris
75,boulevard,malesherbes,Paris
7,rue,jean-mermoz,Paris
32,rue de la,folie-regnault,Paris
32,rue de la,folie-regnault,Paris
102,cours de,vincennes,Paris
15,square du,docteur-blanche,Paris
61,rue,mademoiselle,Paris
53,rue de l',université,Paris
55,rue de l',université,Paris
2,rue de,villersexel,Paris
2,square,raynouard,Paris
5,rue des,plantes,Paris
25,rue du,cambodge,Paris
2,pl.,alphonse-laveran,Paris
53,rue,julien-lacroix,Paris
56,rue,orfila,Paris
58,rue,orfila,Paris
50,rue des,prairies,Paris
224,rue des,pyrénées,Paris
227,rue des,pyrénées,Paris
40,rue,ramus,Paris
59,avenue,philippe-auguste,Paris
40,rue,chanzy,Paris
52,rue,bonaparte,Paris
11,rue,gozlin,Paris
41,avenue de,ségur,Paris
2,villa de,ségur,Paris
55,rue des,panoyaux,Paris
5,avenue de,lowendal,Paris
7,rue,guilleminot,Paris
64,rue de l',ouest,Paris
5,rue,abel-ferry,Paris
1,rue,ferdinand-fabre,Paris
6,rue des,écoles,Paris
7,rue,talma,Paris
5,rue,lebouis,Paris
7,rue,lebouis,Paris
1,rue,lebouis,Paris
3,rue,lebouis,Paris
15,rue de l',ouest,Paris
68,rue,valadon,Paris
27,avenue du,bel-air,Paris
22,rue,poussin,Paris
6,cité de l',ameublement,Paris
4,rue,florian,Paris
6,rue,florian,Paris
8,rue,florian,Paris
2,rue,galleron,Paris
4,rue,galleron,Paris
